CMDLINE /home/dju/miniconda3/envs/retrisound/bin/python test.py
MEM 20238.101562 1721051358.9537
MEM 20325.000000 1721051359.0541
MEM 20405.343750 1721051359.1544
MEM 20426.527344 1721051359.2549
MEM 20545.000000 1721051359.3553
MEM 20632.570312 1721051359.4556
MEM 20717.285156 1721051359.5561
MEM 20855.085938 1721051359.6564
MEM 20938.171875 1721051359.7568
MEM 21026.433594 1721051359.8572
MEM 21115.578125 1721051359.9576
MEM 21190.746094 1721051360.0580
MEM 21274.515625 1721051360.1584
MEM 21399.214844 1721051360.2588
MEM 21479.886719 1721051360.3592
MEM 21565.308594 1721051360.4595
MEM 21655.546875 1721051360.5600
MEM 21803.464844 1721051360.6603
MEM 21889.554688 1721051360.7608
MEM 21976.902344 1721051360.8612
MEM 22107.992188 1721051360.9616
MEM 22194.398438 1721051361.0620
MEM 22280.292969 1721051361.1624
MEM 22368.820312 1721051361.2628
MEM 22442.570312 1721051361.3631
MEM 22489.570312 1721051361.4635
MEM 22587.910156 1721051361.5639
MEM 22706.699219 1721051361.6643
MEM 22792.152344 1721051361.7646
MEM 22880.320312 1721051361.8651
MEM 23007.917969 1721051361.9655
MEM 23091.164062 1721051362.0659
MEM 23177.671875 1721051362.1663
MEM 23323.234375 1721051362.2667
MEM 23410.273438 1721051362.3671
MEM 23498.062500 1721051362.4675
MEM 23589.488281 1721051362.5678
MEM 23674.203125 1721051362.6682
MEM 23739.320312 1721051362.7689
MEM 23854.320312 1721051362.8692
MEM 23970.832031 1721051362.9697
MEM 24056.707031 1721051363.0701
MEM 24143.671875 1721051363.1706
MEM 24287.097656 1721051363.2709
MEM 24373.402344 1721051363.3712
MEM 24460.957031 1721051363.4716
MEM 24596.722656 1721051363.5721
MEM 24681.625000 1721051363.6725
MEM 24768.335938 1721051363.7729
MEM 24862.242188 1721051363.8732
MEM 24942.207031 1721051363.9736
MEM 25023.910156 1721051364.0739
MEM 25131.492188 1721051364.1744
MEM 25234.585938 1721051364.2747
MEM 25301.046875 1721051364.3752
MEM 25392.179688 1721051364.4756
MEM 24465.554688 1721051364.5759
MEM 21745.554688 1721051364.6761
MEM 20650.371094 1721051364.7766
MEM 20650.371094 1721051364.8769
MEM 20650.621094 1721051364.9773
MEM 20650.808594 1721051365.0776
MEM 20651.058594 1721051365.1779
